Text,Label
"Gostei muito!","Positivo"
"Foi excelente!","Positivo"
"Adorei o serviço!","Positivo"
"Muito bom!","Positivo"
"Ótimo atendimento!","Positivo"
"Recomendo muito!","Positivo"
"Fiquei muito satisfeito!","Positivo"
"Excelente trabalho!","Positivo"
"Tudo perfeito!","Positivo"
"O melhor atendimento que já tive!","Positivo"
"Não gostei.","Negativo"
"Foi ruim.","Negativo"
"Péssimo atendimento.","Negativo"
"Odiei o serviço.","Negativo"
"Muito ruim.","Negativo"
"Não recomendo.","Negativo"
"Fiquei muito insatisfeito.","Negativo"
"Foi uma experiência ruim.","Negativo"
"Não valeu a pena.","Negativo"
"O atendimento foi muito ruim.","Negativo"